,,,,,,,,,,,,,,,,NAME,DESCRIPTION
,,,,,,,,,,,,,,,,B01001,SEX BY AGE
,,,,,,,,,,,,,,,,B01001A,SEX BY AGE (WHITE ALONE)
,,,,,,,,,,,,,,,,B01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE)
,,,,,,,,,,,,,,,,B01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
,,,,,,,,,,,,,,,,B01001D,SEX BY AGE (ASIAN ALONE)
,,,,,,,,,,,,,,,,B01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
,,,,,,,,,,,,,,,,B01001F,SEX BY AGE (SOME OTHER RACE ALONE)
,,,,,,,,,,,,,,,,B01001G,SEX BY AGE (TWO OR MORE RACES)
,,,,,,,,,,,,,,,,B01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)"
,,,,,,,,,,,,,,,,B01001I,SEX BY AGE (HISPANIC OR LATINO)
,,,,,,,,,,,,,,,,B01002,MEDIAN AGE BY SEX
,,,,,,,,,,,,,,,,B01002A,MEDIAN AGE BY SEX (WHITE ALONE)
,,,,,,,,,,,,,,,,B01002B,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE)
,,,,,,,,,,,,,,,,B01002C,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE)
,,,,,,,,,,,,,,,,B01002D,MEDIAN AGE BY SEX (ASIAN ALONE)
,,,,,,,,,,,,,,,,B01002E,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
,,,,,,,,,,,,,,,,B01002F,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE)
,,,,,,,,,,,,,,,,B01002G,MEDIAN AGE BY SEX (TWO OR MORE RACES)
,,,,,,,,,,,,,,,,B01002H,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
,,,,,,,,,,,,,,,,B01002I,MEDIAN AGE BY SEX (HISPANIC OR LATINO)
,,,,,,,,,,,,,,,,B01003,TOTAL POPULATION
,,,,,,,,,,,,,,,,B02001,RACE
,,,,,,,,,,,,,,,,B02003,RACE
,,,,,,,,,,,,,,,,B02005,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS
,,,,,,,,,,,,,,,,B02006,ASIAN ALONE BY SELECTED GROUPS
,,,,,,,,,,,,,,,,B02007,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS
,,,,,,,,,,,,,,,,B02008,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
,,,,,,,,,,,,,,,,B02009,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
,,,,,,,,,,,,,,,,B02010,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
,,,,,,,,,,,,,,,,B02011,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
,,,,,,,,,,,,,,,,B02012,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
,,,,,,,,,,,,,,,,B02013,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
,,,,,,,,,,,,,,,,B03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN
,,,,,,,,,,,,,,,,B03002,HISPANIC OR LATINO ORIGIN BY RACE
,,,,,,,,,,,,,,,,B04001,FIRST ANCESTRY REPORTED
,,,,,,,,,,,,,,,,B04002,SECOND ANCESTRY REPORTED
,,,,,,,,,,,,,,,,B04003,TOTAL ANCESTRY REPORTED
,,,,,,,,,,,,,,,,B04004,PEOPLE REPORTING SINGLE ANCESTRY
,,,,,,,,,,,,,,,,B04005,PEOPLE REPORTING MULTIPLE ANCESTRY
,,,,,,,,,,,,,,,,B04006,PEOPLE REPORTING ANCESTRY
,,,,,,,,,,,,,,,,B04007,ANCESTRY
,,,,,,,,,,,,,,,,B05001,CITIZENSHIP STATUS IN THE UNITED STATES
